filename;Xi-square;RS-analyse;AUMP
800.bmp;1;1;1
801.bmp;0;1;0
802.bmp;0;1;0
803.bmp;1;1;0
804.bmp;1;1;1
805.bmp;1;1;1
806.bmp;0;1;1
807.bmp;1;1;0
808.bmp;1;0;0
809.bmp;0;0;0
810.bmp;1;1;1
811.bmp;0;0;0
812.bmp;1;1;1
813.bmp;1;1;1
814.bmp;1;1;0
815.bmp;0;1;1
816.bmp;1;1;1
817.bmp;1;0;1
818.bmp;0;0;0
819.bmp;1;1;1
820.bmp;0;1;0
821.bmp;1;1;0
822.bmp;0;0;0
823.bmp;1;0;0
824.bmp;1;0;0
825.bmp;0;1;0
826.bmp;0;1;0
827.bmp;1;0;0
828.bmp;0;1;1
829.bmp;1;1;0
830.bmp;1;1;1
831.bmp;0;1;1
832.bmp;1;0;0
833.bmp;0;0;1
834.bmp;1;1;0
835.bmp;0;1;1
836.bmp;0;1;0
837.bmp;1;0;0
838.bmp;1;0;0
839.bmp;0;1;1
840.bmp;0;1;1
841.bmp;1;0;0
842.bmp;1;1;0
843.bmp;1;0;0
844.bmp;1;1;0
845.bmp;1;0;0
846.bmp;1;1;1
847.bmp;0;1;0
848.bmp;0;1;0
849.bmp;0;1;0
800_lab3_stego_50.BMP;1;1;1
800_lab3_stego_100.BMP;1;1;1
800_lab4_stego_50.BMP;1;0;0
800_lab4_stego_100.BMP;1;0;0
801_lab3_stego_50.BMP;0;1;1
801_lab3_stego_100.BMP;0;1;1
801_lab4_stego_50.BMP;0;1;0
801_lab4_stego_100.BMP;0;0;0
802_lab3_stego_50.BMP;0;1;1
802_lab3_stego_100.BMP;0;1;1
802_lab4_stego_50.BMP;0;0;0
802_lab4_stego_100.BMP;0;0;0
803_lab3_stego_50.BMP;1;1;1
803_lab3_stego_100.BMP;1;1;1
803_lab4_stego_50.BMP;1;0;0
803_lab4_stego_100.BMP;1;0;0
804_lab3_stego_50.BMP;1;1;1
804_lab3_stego_100.BMP;1;1;1
804_lab4_stego_50.BMP;1;0;1
804_lab4_stego_100.BMP;1;0;1
805_lab3_stego_50.BMP;1;1;1
805_lab3_stego_100.BMP;1;1;1
805_lab4_stego_50.BMP;1;1;1
805_lab4_stego_100.BMP;1;1;1
806_lab3_stego_50.BMP;0;1;0
806_lab3_stego_100.BMP;0;1;1
806_lab4_stego_50.BMP;0;0;0
806_lab4_stego_100.BMP;0;0;0
807_lab3_stego_50.BMP;1;1;1
807_lab3_stego_100.BMP;1;1;1
807_lab4_stego_50.BMP;1;0;0
807_lab4_stego_100.BMP;1;0;1
808_lab3_stego_50.BMP;1;1;1
808_lab3_stego_100.BMP;1;1;1
808_lab4_stego_50.BMP;1;1;1
808_lab4_stego_100.BMP;1;1;1
809_lab3_stego_50.BMP;0;1;1
809_lab3_stego_100.BMP;0;1;1
809_lab4_stego_50.BMP;1;1;1
809_lab4_stego_100.BMP;1;0;1
810_lab3_stego_50.BMP;1;1;1
810_lab3_stego_100.BMP;1;1;1
810_lab4_stego_50.BMP;1;0;1
810_lab4_stego_100.BMP;1;1;0
811_lab3_stego_50.BMP;1;1;1
811_lab3_stego_100.BMP;1;1;1
811_lab4_stego_50.BMP;1;0;0
811_lab4_stego_100.BMP;1;1;1
812_lab3_stego_50.BMP;1;1;1
812_lab3_stego_100.BMP;1;1;1
812_lab4_stego_50.BMP;1;1;1
812_lab4_stego_100.BMP;1;1;1
813_lab3_stego_50.BMP;1;1;1
813_lab3_stego_100.BMP;1;1;1
813_lab4_stego_50.BMP;1;0;0
813_lab4_stego_100.BMP;1;0;0
814_lab3_stego_50.BMP;1;1;1
814_lab3_stego_100.BMP;1;1;1
814_lab4_stego_50.BMP;1;0;0
814_lab4_stego_100.BMP;1;0;0
815_lab3_stego_50.BMP;0;1;1
815_lab3_stego_100.BMP;0;1;1
815_lab4_stego_50.BMP;0;1;1
815_lab4_stego_100.BMP;0;0;1
816_lab3_stego_50.BMP;1;1;1
816_lab3_stego_100.BMP;1;1;1
816_lab4_stego_50.BMP;1;0;1
816_lab4_stego_100.BMP;1;0;1
817_lab3_stego_50.BMP;1;1;1
817_lab3_stego_100.BMP;1;1;1
817_lab4_stego_50.BMP;1;1;1
817_lab4_stego_100.BMP;1;1;1
818_lab3_stego_50.BMP;0;1;1
818_lab3_stego_100.BMP;0;1;1
818_lab4_stego_50.BMP;0;0;1
818_lab4_stego_100.BMP;0;0;1
819_lab3_stego_50.BMP;1;1;1
819_lab3_stego_100.BMP;1;1;1
819_lab4_stego_50.BMP;1;0;0
819_lab4_stego_100.BMP;1;0;0
820_lab3_stego_50.BMP;0;1;1
820_lab3_stego_100.BMP;0;1;1
820_lab4_stego_50.BMP;0;1;1
820_lab4_stego_100.BMP;0;0;0
821_lab3_stego_50.BMP;0;1;1
821_lab3_stego_100.BMP;1;1;1
821_lab4_stego_50.BMP;1;1;0
821_lab4_stego_100.BMP;1;1;0
822_lab3_stego_50.BMP;0;1;1
822_lab3_stego_100.BMP;0;1;1
822_lab4_stego_50.BMP;0;0;0
822_lab4_stego_100.BMP;0;0;0
823_lab3_stego_50.BMP;1;1;1
823_lab3_stego_100.BMP;1;1;1
823_lab4_stego_50.BMP;1;0;0
823_lab4_stego_100.BMP;1;0;0
824_lab3_stego_50.BMP;1;1;1
824_lab3_stego_100.BMP;1;1;1
824_lab4_stego_50.BMP;1;1;0
824_lab4_stego_100.BMP;1;0;0
825_lab3_stego_50.BMP;1;1;1
825_lab3_stego_100.BMP;1;1;1
825_lab4_stego_50.BMP;0;0;0
825_lab4_stego_100.BMP;1;1;0
826_lab3_stego_50.BMP;1;1;1
826_lab3_stego_100.BMP;1;1;1
826_lab4_stego_50.BMP;1;1;1
826_lab4_stego_100.BMP;1;1;0
827_lab3_stego_50.BMP;1;1;1
827_lab3_stego_100.BMP;1;1;1
827_lab4_stego_50.BMP;1;0;1
827_lab4_stego_100.BMP;1;0;1
828_lab3_stego_50.BMP;1;1;1
828_lab3_stego_100.BMP;1;1;1
828_lab4_stego_50.BMP;1;1;0
828_lab4_stego_100.BMP;1;1;0
829_lab3_stego_50.BMP;1;1;1
829_lab3_stego_100.BMP;1;1;1
829_lab4_stego_50.BMP;1;1;1
829_lab4_stego_100.BMP;1;0;1
830_lab3_stego_50.BMP;1;1;1
830_lab3_stego_100.BMP;1;1;1
830_lab4_stego_50.BMP;1;1;1
830_lab4_stego_100.BMP;1;1;1
831_lab3_stego_50.BMP;0;1;1
831_lab3_stego_100.BMP;0;1;1
831_lab4_stego_50.BMP;0;1;0
831_lab4_stego_100.BMP;0;0;0
832_lab3_stego_50.BMP;1;1;1
832_lab3_stego_100.BMP;1;1;1
832_lab4_stego_50.BMP;1;0;0
832_lab4_stego_100.BMP;1;0;0
833_lab3_stego_50.BMP;0;1;1
833_lab3_stego_100.BMP;0;1;1
833_lab4_stego_50.BMP;0;1;1
833_lab4_stego_100.BMP;0;1;1
834_lab3_stego_50.BMP;1;1;1
834_lab3_stego_100.BMP;1;1;1
834_lab4_stego_50.BMP;1;1;0
834_lab4_stego_100.BMP;1;1;0
835_lab3_stego_50.BMP;1;1;1
835_lab3_stego_100.BMP;1;1;1
835_lab4_stego_50.BMP;1;1;1
835_lab4_stego_100.BMP;1;1;1
836_lab3_stego_50.BMP;0;1;1
836_lab3_stego_100.BMP;0;1;1
836_lab4_stego_50.BMP;0;1;1
836_lab4_stego_100.BMP;0;0;1
837_lab3_stego_50.BMP;1;1;1
837_lab3_stego_100.BMP;1;1;1
837_lab4_stego_50.BMP;1;0;0
837_lab4_stego_100.BMP;1;0;0
838_lab3_stego_50.BMP;1;1;1
838_lab3_stego_100.BMP;1;1;1
838_lab4_stego_50.BMP;1;0;1
838_lab4_stego_100.BMP;1;1;1
839_lab3_stego_50.BMP;0;1;1
839_lab3_stego_100.BMP;0;1;1
839_lab4_stego_50.BMP;0;1;1
839_lab4_stego_100.BMP;0;0;1
840_lab3_stego_50.BMP;0;1;1
840_lab3_stego_100.BMP;0;1;1
840_lab4_stego_50.BMP;0;1;1
840_lab4_stego_100.BMP;0;0;0
841_lab3_stego_50.BMP;0;1;1
841_lab3_stego_100.BMP;0;1;1
841_lab4_stego_50.BMP;1;0;1
841_lab4_stego_100.BMP;1;0;0
842_lab3_stego_50.BMP;1;1;1
842_lab3_stego_100.BMP;1;1;1
842_lab4_stego_50.BMP;1;0;0
842_lab4_stego_100.BMP;1;0;1
843_lab3_stego_50.BMP;1;1;1
843_lab3_stego_100.BMP;1;1;1
843_lab4_stego_50.BMP;1;0;0
843_lab4_stego_100.BMP;1;0;0
844_lab3_stego_50.BMP;1;1;1
844_lab3_stego_100.BMP;1;1;1
844_lab4_stego_50.BMP;1;0;0
844_lab4_stego_100.BMP;1;0;0
845_lab3_stego_50.BMP;1;1;1
845_lab3_stego_100.BMP;1;1;1
845_lab4_stego_50.BMP;1;0;0
845_lab4_stego_100.BMP;1;0;0
846_lab3_stego_50.BMP;1;1;1
846_lab3_stego_100.BMP;1;1;1
846_lab4_stego_50.BMP;1;1;1
846_lab4_stego_100.BMP;1;0;1
847_lab3_stego_50.BMP;0;1;1
847_lab3_stego_100.BMP;0;1;1
847_lab4_stego_50.BMP;0;1;0
847_lab4_stego_100.BMP;0;1;0
848_lab3_stego_50.BMP;0;1;0
848_lab3_stego_100.BMP;0;1;1
848_lab4_stego_50.BMP;0;0;0
848_lab4_stego_100.BMP;0;0;0
849_lab3_stego_50.BMP;0;1;1
849_lab3_stego_100.BMP;0;1;1
849_lab4_stego_50.BMP;0;0;0
849_lab4_stego_100.BMP;0;0;1
